year,ward,cost,category,program,description,category_street,pct_income_under25,pct_income_25_50,pct_income_50_100,pct_income_100_150,pct_income_over150,pct_white,pct_hispanic,pct_black,pct_asian,plurality
2019,49,$2800,Streets & Transportation,Alley Speed Hump (2019),N WOLCOTT AVE & W FARGO AVE&W BIRCHWOOD AVE & N WINCHESTER AVE,Pedestrian,32.8,25.99,26.21,9.1,5.9,56.92,20.15,28.42,5.9,white
2015,46,$90000,Streets & Transportation,Left-Turn Arrow Menu,N BROADWAY & N CLARENDON AVE,Car,27.39,18.54,27.77,14.4,11.9,67.71,12.88,18.39,7.65,white
2013,25,$22500,Security Cameras,High Definition Camera,2159 W. 19th Street,NA,27.08,20.27,25.88,12.03,14.74,52.65,48.07,8.27,15.29,white
2017,27,$54022,Security Cameras,High Definition Camera (2017),ON S HAMILTON AVE FROM W JACKSON BLVD (300 S) TO W ADAMS ST (200 S):200 S HOYNE AVE,NA,32.28,14.93,21.22,13.39,18.19,36.97,14.4,47.37,5.17,black
2016,33,$0,Streets & Transportation,Alley Speed Hump,N WASHTENAW AVE & W GEORGE ST&N TALMAN AVE & W DIVERSEY AVE,Pedestrian,19.94,24.22,29.62,14.15,12.08,71.64,47.93,4.41,9.26,white
2023,41,$74668.96,Streets & Transportation,Street Resurfacing (2023),ON N SAYRE AVE FROM W GREGORY ST (5530 N) TO W HIGGINS AVE (5442 N),Car,17.36,17.73,30.52,16.4,17.99,86.31,14.1,1.16,5.21,white
2015,43,$14602,Streets & Transportation,Sidewalk Menu,ON N LARRABEE ST FROM W MENOMONEE ST (1800 N) TO W WISCONSIN ST (1900 N),Pedestrian,13.54,10.77,27.47,18.03,30.2,83.93,5.6,5.01,6.96,white
2018,7,$42554.16,Streets & Transportation,Street Resurfacing (2018),ON S CRANDON AVE FROM E 78TH ST (7800 S) TO E 79TH ST (7900 S),Car,46.26,22.96,21.68,7.3,1.8,6.01,5.07,91.3,0.11,black
2020,15,$13289.66,Streets & Transportation,Alley Apron (2020),ON W 61ST ST FROM S WOOD ST (1800 W) TO S HERMITAGE AVE (1730 W),Car,36.61,34.26,22,4.99,2.13,45.96,73.88,19.26,1.98,hispanic
2021,3,$259.76,Lighting,Street Light Upgrade (2021),421 E 41ST ST,NA,33.11,16.03,23.03,13.22,14.61,23.16,4.82,63.03,9.81,black
