artist,song,line_number,text,stanza,source_url
Aesop Rock,Infinity Fill Goose Down,36,I am always into something,7,https://www.azlyrics.com/lyrics/aesoprock/infinityfillgoosedown.html
Aesop Rock,Infinity Fill Goose Down,37,I can introduce you to another realm,8,https://www.azlyrics.com/lyrics/aesoprock/infinityfillgoosedown.html
Aesop Rock,Infinity Fill Goose Down,38,"Help you with the move, but only you can go fuck yourself",8,https://www.azlyrics.com/lyrics/aesoprock/infinityfillgoosedown.html
Aesop Rock,Infinity Fill Goose Down,39,Cut to helter-skelter in glorious technicolor,8,https://www.azlyrics.com/lyrics/aesoprock/infinityfillgoosedown.html
Aesop Rock,Infinity Fill Goose Down,40,With bumper to bumper sending turtle shells at one another,8,https://www.azlyrics.com/lyrics/aesoprock/infinityfillgoosedown.html
Aesop Rock,Infinity Fill Goose Down,41,It's treasure hunters budding in some cannonball running of bulls,8,https://www.azlyrics.com/lyrics/aesoprock/infinityfillgoosedown.html
Aesop Rock,Infinity Fill Goose Down,42,"Sweating in the dead of summer, red X on the bread and butter",8,https://www.azlyrics.com/lyrics/aesoprock/infinityfillgoosedown.html
Aesop Rock,Infinity Fill Goose Down,43,Pardon while his pedal power shed the inseparable umbra,8,https://www.azlyrics.com/lyrics/aesoprock/infinityfillgoosedown.html
Aesop Rock,Infinity Fill Goose Down,44,"Reset the pecking order, still ain't pick a second number",8,https://www.azlyrics.com/lyrics/aesoprock/infinityfillgoosedown.html
Aesop Rock,Infinity Fill Goose Down,45,"Detective on some ""how you get so mega extra ultra?""",8,https://www.azlyrics.com/lyrics/aesoprock/infinityfillgoosedown.html
Aesop Rock,Infinity Fill Goose Down,46,"I said ""never check the weather and always dress for the tundra""",8,https://www.azlyrics.com/lyrics/aesoprock/infinityfillgoosedown.html
Aesop Rock,Infinity Fill Goose Down,47,"Merry ""Dawn of the Mummy"", heard a call in my slumber",8,https://www.azlyrics.com/lyrics/aesoprock/infinityfillgoosedown.html
Aesop Rock,Infinity Fill Goose Down,48,Woke to a thousand years of sauce of the month in a bunker,8,https://www.azlyrics.com/lyrics/aesoprock/infinityfillgoosedown.html
Aesop Rock,Infinity Fill Goose Down,49,"Yum, you could be the lunker under pepper X",8,https://www.azlyrics.com/lyrics/aesoprock/infinityfillgoosedown.html
Aesop Rock,Infinity Fill Goose Down,50,"I feel like professor why, why are all my friends depressed?",8,https://www.azlyrics.com/lyrics/aesoprock/infinityfillgoosedown.html
Aesop Rock,Infinity Fill Goose Down,51,Why's this party feel like when I walked back into Selmer's Pets,8,https://www.azlyrics.com/lyrics/aesoprock/infinityfillgoosedown.html
Aesop Rock,Infinity Fill Goose Down,52,"In precious tears like ""why are all my tetra dead... yet again?",8,https://www.azlyrics.com/lyrics/aesoprock/infinityfillgoosedown.html
Aesop Rock,Infinity Fill Goose Down,53,Landspeed entirely contextual,8,https://www.azlyrics.com/lyrics/aesoprock/infinityfillgoosedown.html
Aesop Rock,Infinity Fill Goose Down,54,"Glacial-pace grand prix, ""space invader camera B!""",8,https://www.azlyrics.com/lyrics/aesoprock/infinityfillgoosedown.html
Aesop Rock,Infinity Fill Goose Down,55,"Cam or not, copy room, camp ground or canteen",8,https://www.azlyrics.com/lyrics/aesoprock/infinityfillgoosedown.html
Aesop Rock,Infinity Fill Goose Down,56,"Every time you stand down, I pop out yelling ""and... scene!""",8,https://www.azlyrics.com/lyrics/aesoprock/infinityfillgoosedown.html
Aesop Rock,Infinity Fill Goose Down,57,"Make a million paper cranes, blindfolded",8,https://www.azlyrics.com/lyrics/aesoprock/infinityfillgoosedown.html
Aesop Rock,Infinity Fill Goose Down,58,Both arms stuck in different crane games,8,https://www.azlyrics.com/lyrics/aesoprock/infinityfillgoosedown.html
Aesop Rock,Infinity Fill Goose Down,59,"Underwater, over coals, whole of his spirit above him",8,https://www.azlyrics.com/lyrics/aesoprock/infinityfillgoosedown.html
Aesop Rock,Infinity Fill Goose Down,60,"Call now, I am always into something",8,https://www.azlyrics.com/lyrics/aesoprock/infinityfillgoosedown.html
